Variety,Yield,Year,State,File
Other Varieties,1100,2000,Idaho,22.pdf
Fuggle,1065,2000,Oregon,22.pdf
Golding,1170,2000,Oregon,22.pdf
Mt. Hood,1790,2000,Oregon,22.pdf
Nugget,2162,2000,Oregon,22.pdf
Perle,1130,2000,Oregon,22.pdf
Santiam,,2000,Oregon,22.pdf
Sterling,,2000,Oregon,22.pdf
Tettnanger,,2000,Oregon,22.pdf
Willamette,1549,2000,Oregon,22.pdf
Other Varieties,1843,2000,Oregon,22.pdf
Cascade,1806,2000,Washington,22.pdf
Chinook,1957,2000,Washington,22.pdf
Cluster,1997,2000,Washington,22.pdf
Columbus/Tomahawk,2564,2000,Washington,22.pdf
Eroica,,2000,Washington,22.pdf
Galena,1891,2000,Washington,22.pdf
Golding,1098,2000,Washington,22.pdf
Horizon,1250,2000,Washington,22.pdf
Magnum,1616,2000,Washington,22.pdf
Mt. Hood,1147,2000,Washington,22.pdf
Nugget,1854,2000,Washington,22.pdf
Olympic,,2000,Washington,22.pdf
Perle,785,2000,Washington,22.pdf
Tettnanger,,2000,Washington,22.pdf
Willamette,1372,2000,Washington,22.pdf
Zeus,2699,2000,Washington,22.pdf
High Alpha,1772,2000,Washington,22.pdf
Alpha,1557,2000,Washington,22.pdf
Aroma,1134,2000,Washington,22.pdf
Other,1748,2000,Washington,22.pdf
Apollo,,2019,Idaho,273.pdf
Bravo,,2019,Idaho,273.pdf
Calypso,1901,2019,Idaho,273.pdf
Cascade,1823,2019,Idaho,273.pdf
Centennial,,2019,Idaho,273.pdf
Chinook,2215,2019,Idaho,273.pdf
Citra HBC 394,1532,2019,Idaho,273.pdf
Cluster,,2019,Idaho,273.pdf
Columbus/Tomahawk/Zeus,3002,2019,Idaho,273.pdf
Comet,1970,2019,Idaho,273.pdf
Crystal,1971,2019,Idaho,273.pdf
El Dorado,1352,2019,Idaho,273.pdf
Eureka!,2243,2019,Idaho,273.pdf
Galena,1773,2019,Idaho,273.pdf
Idaho 7,,2019,Idaho,273.pdf
Mosaic HBC 369,2296,2019,Idaho,273.pdf
Saaz,771,2019,Idaho,273.pdf
Ahtanum YCR 1,1164,2019,Idaho,273.pdf
Super Galena,,2019,Idaho,273.pdf
Willamette,1695,2019,Idaho,273.pdf
Zeus,2672,2019,Idaho,273.pdf
Experimental,,2019,Idaho,273.pdf
Other Varieties,1907,2019,Idaho,273.pdf
Amarillo VGXP01,2208,2019,Oregon,273.pdf
Cascade,1620,2019,Oregon,273.pdf
Centennial,1661,2019,Oregon,273.pdf
Chinook,1733,2019,Oregon,273.pdf
Citra HBC 394,1476,2019,Oregon,273.pdf
Crystal,1943,2019,Oregon,273.pdf
Fuggle,1243,2019,Oregon,273.pdf
Golding,1351,2019,Oregon,273.pdf
Hallertau Magnum,,2019,Oregon,273.pdf
Liberty,,2019,Oregon,273.pdf
Mosaic HBC 369,2113,2019,Oregon,273.pdf
Mt. Hood,1538,2019,Oregon,273.pdf
Nugget,2130,2019,Oregon,273.pdf
Perle,,2019,Oregon,273.pdf
Ahtanum YCR 1,1845,2019,Oregon,273.pdf
Sterling,1643,2019,Oregon,273.pdf
Strata OR 91331,2066,2019,Oregon,273.pdf
Super Galena,2580,2019,Oregon,273.pdf
Tettnanger,,2019,Oregon,273.pdf
Willamette,1717,2019,Oregon,273.pdf
Other Varieties,1644,2019,Oregon,273.pdf
Ahtanum YCR 1,1960,2019,Washington,273.pdf
Amarillo VGXP01,1946,2019,Washington,273.pdf
Apollo,2735,2019,Washington,273.pdf
Azacca ADHA-483,2441,2019,Washington,273.pdf
Bravo,3216,2019,Washington,273.pdf
Cascade,1920,2019,Washington,273.pdf
Cashmere,1699,2019,Washington,273.pdf
Centennial,1820,2019,Washington,273.pdf
Chinook,1942,2019,Washington,273.pdf
Citra HBC 394,1424,2019,Washington,273.pdf
Cluster,1815,2019,Washington,273.pdf
Columbus/Tomahawk/Zeus,2584,2019,Washington,273.pdf
Comet,1311,2019,Washington,273.pdf
Crystal,1989,2019,Washington,273.pdf
Ekuanot HBC 366,2483,2019,Washington,273.pdf
El Dorado,2032,2019,Washington,273.pdf
Eureka!,3188,2019,Washington,273.pdf
Galena,2045,2019,Washington,273.pdf
Glacier,,2019,Washington,273.pdf
Golding,,2019,Washington,273.pdf
Hallertau Magnum,,2019,Washington,273.pdf
Idaho 7,1544,2019,Washington,273.pdf
Jarrylo ADHA-881,,2019,Washington,273.pdf
Loral HBC 291,2515,2019,Washington,273.pdf
Mosaic HBC 369,2054,2019,Washington,273.pdf
Mt. Hood,1037,2019,Washington,273.pdf
Mt. Rainier,2149,2019,Washington,273.pdf
Northern Brewer,,2019,Washington,273.pdf
Nugget,2313,2019,Washington,273.pdf
Pahto HBC 682,2398,2019,Washington,273.pdf
Palisade YCR 4,2520,2019,Washington,273.pdf
Pekko ADHA-871,,2019,Washington,273.pdf
Sabro HBC 438,1612,2019,Washington,273.pdf
Ahtanum YCR 1,1788,2019,Washington,273.pdf
Sorachi Ace,,2019,Washington,273.pdf
Summit,1816,2019,Washington,273.pdf
Super Galena,2871,2019,Washington,273.pdf
Tahoma,1958,2019,Washington,273.pdf
Tettnanger,,2019,Washington,273.pdf
Vanguard,,2019,Washington,273.pdf
Willamette,1596,2019,Washington,273.pdf
Zeus,2620,2019,Washington,273.pdf
Experimental,2251,2019,Washington,273.pdf
Other Varieties,1888,2019,Washington,273.pdf
Apollo,,2020,Idaho,346.pdf
Bravo,,2020,Idaho,346.pdf
Calypso,,2020,Idaho,346.pdf
Cascade,1213,2020,Idaho,346.pdf
Cashmere,1578,2020,Idaho,346.pdf
Centennial,,2020,Idaho,346.pdf
Chinook,1614,2020,Idaho,346.pdf
Citra HBC 394,1686,2020,Idaho,346.pdf
Cluster,,2020,Idaho,346.pdf
Columbus/Tomahawk/Zeus,2673,2020,Idaho,346.pdf
Comet,1740,2020,Idaho,346.pdf
Crystal,,2020,Idaho,346.pdf
El Dorado,1590,2020,Idaho,346.pdf
Eureka!,,2020,Idaho,346.pdf
Galena,,2020,Idaho,346.pdf
Hallertau,614,2020,Idaho,346.pdf
Idaho 7,2442,2020,Idaho,346.pdf
Mosaic HBC 369,2335,2020,Idaho,346.pdf
Northern Brewer,1432,2020,Idaho,346.pdf
Saaz,,2020,Idaho,346.pdf
Ahtanum YCR 1,992,2020,Idaho,346.pdf
Super Galena,,2020,Idaho,346.pdf
Triumph,365,2020,Idaho,346.pdf
Willamette,,2020,Idaho,346.pdf
Zeus,,2020,Idaho,346.pdf
Experimental,,2020,Idaho,346.pdf
Other Varieties,1567,2020,Idaho,346.pdf
Amarillo VGXP01,2360,2020,Oregon,346.pdf
Cascade,1639,2020,Oregon,346.pdf
Centennial,1675,2020,Oregon,346.pdf
Chinook,1481,2020,Oregon,346.pdf
Citra HBC 394,1506,2020,Oregon,346.pdf
Crystal,,2020,Oregon,346.pdf
Fuggle,,2020,Oregon,346.pdf
Golding,,2020,Oregon,346.pdf
Hallertau Magnum,,2020,Oregon,346.pdf
Liberty,2289,2020,Oregon,346.pdf
Mosaic HBC 369,2155,2020,Oregon,346.pdf
Mt. Hood,1551,2020,Oregon,346.pdf
Nugget,1841,2020,Oregon,346.pdf
Perle,,2020,Oregon,346.pdf
Sabro HBC 438,870,2020,Oregon,346.pdf
Ahtanum YCR 1,1823,2020,Oregon,346.pdf
Sterling,1728,2020,Oregon,346.pdf
Strata OR 91331,2068,2020,Oregon,346.pdf
Super Galena,2801,2020,Oregon,346.pdf
Tettnanger,,2020,Oregon,346.pdf
Willamette,1857,2020,Oregon,346.pdf
Other Varieties,1479,2020,Oregon,346.pdf
Ahtanum YCR 1,2134,2020,Washington,346.pdf
Amarillo VGXP01,1649,2020,Washington,346.pdf
Apollo,2248,2020,Washington,346.pdf
Azacca ADHA-483,1527,2020,Washington,346.pdf
Bravo,2308,2020,Washington,346.pdf
Cascade,1551,2020,Washington,346.pdf
Cashmere,1514,2020,Washington,346.pdf
Centennial,1640,2020,Washington,346.pdf
Chinook,1665,2020,Washington,346.pdf
Citra HBC 394,1526,2020,Washington,346.pdf
Cluster,2065,2020,Washington,346.pdf
Columbus/Tomahawk/Zeus,2176,2020,Washington,346.pdf
Comet,872,2020,Washington,346.pdf
Crystal,,2020,Washington,346.pdf
Ekuanot HBC 366,2158,2020,Washington,346.pdf
El Dorado,1516,2020,Washington,346.pdf
Eureka!,2332,2020,Washington,346.pdf
Galena,1838,2020,Washington,346.pdf
Glacier,,2020,Washington,346.pdf
Idaho 7,1736,2020,Washington,346.pdf
Jarrylo ADHA-881,1428,2020,Washington,346.pdf
Loral HBC 291,1874,2020,Washington,346.pdf
Mosaic HBC 369,1998,2020,Washington,346.pdf
Mt. Hood,1139,2020,Washington,346.pdf
Mt. Rainier,1586,2020,Washington,346.pdf
Nugget,,2020,Washington,346.pdf
Pahto HBC 682,2019,2020,Washington,346.pdf
Palisade YCR 4,2114,2020,Washington,346.pdf
Pekko ADHA-871,1239,2020,Washington,346.pdf
Sabro HBC 438,1886,2020,Washington,346.pdf
Ahtanum YCR 1,1643,2020,Washington,346.pdf
Sorachi Ace,,2020,Washington,346.pdf
Summit,1096,2020,Washington,346.pdf
Super Galena,2636,2020,Washington,346.pdf
Tahoma,1588,2020,Washington,346.pdf
Tettnanger,,2020,Washington,346.pdf
Warrior YCR 5,1669,2020,Washington,346.pdf
Willamette,1458,2020,Washington,346.pdf
Zeus,,2020,Washington,346.pdf
Experimental,1207,2020,Washington,346.pdf
Other Varieties,1737,2020,Washington,346.pdf
Apollo,2535,2021,Idaho,405.pdf
Bravo,1163,2021,Idaho,405.pdf
Calypso,1974,2021,Idaho,405.pdf
Cascade,1559,2021,Idaho,405.pdf
Cashmere,1828,2021,Idaho,405.pdf
Centennial,,2021,Idaho,405.pdf
Chinook,2104,2021,Idaho,405.pdf
Citra HBC 394,1413,2021,Idaho,405.pdf
Cluster,,2021,Idaho,405.pdf
Columbus/Tomahawk/Zeus,3169,2021,Idaho,405.pdf
Comet,1663,2021,Idaho,405.pdf
Crystal,,2021,Idaho,405.pdf
El Dorado,1778,2021,Idaho,405.pdf
Eureka!,2433,2021,Idaho,405.pdf
Galena,,2021,Idaho,405.pdf
Hallertau,1272,2021,Idaho,405.pdf
Idaho 7,2837,2021,Idaho,405.pdf
Mosaic HBC 369,2141,2021,Idaho,405.pdf
Mt. Rainier,985,2021,Idaho,405.pdf
Northern Brewer,1266,2021,Idaho,405.pdf
Saaz,620,2021,Idaho,405.pdf
Ahtanum YCR 1,1121,2021,Idaho,405.pdf
Super Galena,2127,2021,Idaho,405.pdf
Triumph,1063,2021,Idaho,405.pdf
Willamette,1311,2021,Idaho,405.pdf
Zeus,,2021,Idaho,405.pdf
Experimental,,2021,Idaho,405.pdf
Other Varieties,1725,2021,Idaho,405.pdf
Amarillo VGXP01,2186,2021,Oregon,405.pdf
Cascade,1595,2021,Oregon,405.pdf
Centennial,1384,2021,Oregon,405.pdf
Chinook,1794,2021,Oregon,405.pdf
Citra HBC 394,1414,2021,Oregon,405.pdf
Crystal,1816,2021,Oregon,405.pdf
Eureka!,2292,2021,Oregon,405.pdf
Fuggle,,2021,Oregon,405.pdf
Golding,927,2021,Oregon,405.pdf
Hallertau Magnum,,2021,Oregon,405.pdf
Liberty,1506,2021,Oregon,405.pdf
Mosaic HBC 369,2077,2021,Oregon,405.pdf
Mt. Hood,1624,2021,Oregon,405.pdf
Nugget,2162,2021,Oregon,405.pdf
Perle,,2021,Oregon,405.pdf
Sabro HBC 438,1749,2021,Oregon,405.pdf
Ahtanum YCR 1,1643,2021,Oregon,405.pdf
Sterling,1321,2021,Oregon,405.pdf
Strata OR 91331,1889,2021,Oregon,405.pdf
Super Galena,,2021,Oregon,405.pdf
Tettnanger,,2021,Oregon,405.pdf
Willamette,1461,2021,Oregon,405.pdf
Other Varieties,1780,2021,Oregon,405.pdf
Ahtanum YCR 1,2211,2021,Washington,405.pdf
Amarillo VGXP01,1659,2021,Washington,405.pdf
Apollo,2949,2021,Washington,405.pdf
Azacca ADHA-483,1909,2021,Washington,405.pdf
Bravo,2759,2021,Washington,405.pdf
Calypso,2930,2021,Washington,405.pdf
Cascade,1585,2021,Washington,405.pdf
Cashmere,1395,2021,Washington,405.pdf
Centennial,1585,2021,Washington,405.pdf
Chinook,1851,2021,Washington,405.pdf
Citra HBC 394,1580,2021,Washington,405.pdf
Cluster,2016,2021,Washington,405.pdf
Columbus/Tomahawk/Zeus,2656,2021,Washington,405.pdf
Comet,1632,2021,Washington,405.pdf
Crystal,,2021,Washington,405.pdf
Ekuanot HBC 366,2608,2021,Washington,405.pdf
El Dorado,1876,2021,Washington,405.pdf
Eureka!,3022,2021,Washington,405.pdf
Galena,,2021,Washington,405.pdf
Idaho 7,3197,2021,Washington,405.pdf
Jarrylo ADHA-881,,2021,Washington,405.pdf
Loral HBC 291,2088,2021,Washington,405.pdf
Mosaic HBC 369,2129,2021,Washington,405.pdf
Mt. Hood,1139,2021,Washington,405.pdf
Mt. Rainier,,2021,Washington,405.pdf
Nugget,,2021,Washington,405.pdf
Pahto HBC 682,2463,2021,Washington,405.pdf
Palisade YCR 4,1866,2021,Washington,405.pdf
Pekko ADHA-871,2072,2021,Washington,405.pdf
Sabro HBC 438,1886,2021,Washington,405.pdf
Ahtanum YCR 1,1646,2021,Washington,405.pdf
Sorachi Ace,,2021,Washington,405.pdf
Summit,1351,2021,Washington,405.pdf
Super Galena,2849,2021,Washington,405.pdf
Tahoma,1055,2021,Washington,405.pdf
Tettnanger,,2021,Washington,405.pdf
Warrior YCR 5,2240,2021,Washington,405.pdf
Willamette,,2021,Washington,405.pdf
Zeus,,2021,Washington,405.pdf
Experimental,1713,2021,Washington,405.pdf
Other Varieties,1934,2021,Washington,405.pdf
Apollo,,2022,Idaho,435.pdf
Bravo,,2022,Idaho,435.pdf
Calypso,,2022,Idaho,435.pdf
Cascade,1494,2022,Idaho,435.pdf
Cashmere,1622,2022,Idaho,435.pdf
Chinook,1467,2022,Idaho,435.pdf
Citra HBC 394,1515,2022,Idaho,435.pdf
Cluster,,2022,Idaho,435.pdf
Columbus/Tomahawk/Zeus,3027,2022,Idaho,435.pdf
Comet,1863,2022,Idaho,435.pdf
Crystal,,2022,Idaho,435.pdf
El Dorado,1766,2022,Idaho,435.pdf
Eureka!,2200,2022,Idaho,435.pdf
Galena,,2022,Idaho,435.pdf
Hallertau,1649,2022,Idaho,435.pdf
Mosaic HBC 369,2103,2022,Idaho,435.pdf
Mt. Rainier,1364,2022,Idaho,435.pdf
Northern Brewer,,2022,Idaho,435.pdf
Saaz,955,2022,Idaho,435.pdf
Ahtanum YCR 1,1208,2022,Idaho,435.pdf
Super Galena,,2022,Idaho,435.pdf
Triumph,871,2022,Idaho,435.pdf
Willamette,1393,2022,Idaho,435.pdf
Zeus,,2022,Idaho,435.pdf
Other Varieties,1587,2022,Idaho,435.pdf
Amarillo VGXP01,1870,2022,Oregon,435.pdf
Cascade,1578,2022,Oregon,435.pdf
Centennial,1575,2022,Oregon,435.pdf
Chinook,1543,2022,Oregon,435.pdf
Citra HBC 394,1562,2022,Oregon,435.pdf
Crystal,1739,2022,Oregon,435.pdf
Eureka!,,2022,Oregon,435.pdf
Fuggle,,2022,Oregon,435.pdf
Golding,,2022,Oregon,435.pdf
Hallertau Magnum,,2022,Oregon,435.pdf
Liberty,,2022,Oregon,435.pdf
Mosaic HBC 369,2059,2022,Oregon,435.pdf
Mt. Hood,1252,2022,Oregon,435.pdf
Mt. Rainier,1473,2022,Oregon,435.pdf
Nugget,2085,2022,Oregon,435.pdf
Perle,,2022,Oregon,435.pdf
Sabro HBC 438,1996,2022,Oregon,435.pdf
Ahtanum YCR 1,1646,2022,Oregon,435.pdf
Sterling,1559,2022,Oregon,435.pdf
Strata OR 91331,2000,2022,Oregon,435.pdf
Super Galena,,2022,Oregon,435.pdf
Talus HBC 692,1483,2022,Oregon,435.pdf
Tettnanger,,2022,Oregon,435.pdf
Willamette,1489,2022,Oregon,435.pdf
Other Varieties,1567,2022,Oregon,435.pdf
Ahtanum YCR 1,2032,2022,Washington,435.pdf
Amarillo VGXP01,1486,2022,Washington,435.pdf
Apollo,2483,2022,Washington,435.pdf
Azacca ADHA-483,1559,2022,Washington,435.pdf
Bravo,2161,2022,Washington,435.pdf
Calypso,,2022,Washington,435.pdf
Cascade,1477,2022,Washington,435.pdf
Cashmere,1521,2022,Washington,435.pdf
Centennial,1464,2022,Washington,435.pdf
Chinook,1335,2022,Washington,435.pdf
Citra HBC 394,1365,2022,Washington,435.pdf
Cluster,1505,2022,Washington,435.pdf
Columbus/Tomahawk/Zeus,2256,2022,Washington,435.pdf
Comet,1299,2022,Washington,435.pdf
Crystal,,2022,Washington,435.pdf
Ekuanot HBC 366,2153,2022,Washington,435.pdf
El Dorado,1685,2022,Washington,435.pdf
Eureka!,2205,2022,Washington,435.pdf
Galena,,2022,Washington,435.pdf
Jarrylo ADHA-881,,2022,Washington,435.pdf
Loral HBC 291,1843,2022,Washington,435.pdf
Mosaic HBC 369,1963,2022,Washington,435.pdf
Mt. Hood,573,2022,Washington,435.pdf
Mt. Rainier,1563,2022,Washington,435.pdf
Nugget,,2022,Washington,435.pdf
Pahto HBC 682,2132,2022,Washington,435.pdf
Palisade YCR 4,1842,2022,Washington,435.pdf
Pekko ADHA-871,1882,2022,Washington,435.pdf
Sabro HBC 438,2052,2022,Washington,435.pdf
Ahtanum YCR 1,1380,2022,Washington,435.pdf
Sorachi Ace,,2022,Washington,435.pdf
Summit,,2022,Washington,435.pdf
Super Galena,2838,2022,Washington,435.pdf
Tahoma,1310,2022,Washington,435.pdf
Talus HBC 692,1703,2022,Washington,435.pdf
Warrior YCR 5,1610,2022,Washington,435.pdf
Willamette,991,2022,Washington,435.pdf
Zappa,839,2022,Washington,435.pdf
Zeus,,2022,Washington,435.pdf
Experimental,1717,2022,Washington,435.pdf
Other Varieties,1577,2022,Washington,435.pdf
Bravo,2625,2015,Idaho,5.pdf
Calypso,1710,2015,Idaho,5.pdf
Cascade,1633,2015,Idaho,5.pdf
Centennial,,2015,Idaho,5.pdf
Chinook,1850,2015,Idaho,5.pdf
Citra HBC 394,1271,2015,Idaho,5.pdf
Crystal,,2015,Idaho,5.pdf
El Dorado,1125,2015,Idaho,5.pdf
Mosaic HBC 369,2278,2015,Idaho,5.pdf
Ahtanum YCR 1,1576,2015,Idaho,5.pdf
Super Galena,2189,2015,Idaho,5.pdf
Zeus,2909,2015,Idaho,5.pdf
Experimental,1269,2015,Idaho,5.pdf
Other Varieties,1348,2015,Idaho,5.pdf
Cascade,1994,2015,Oregon,5.pdf
Centennial,1352,2015,Oregon,5.pdf
Chinook,1861,2015,Oregon,5.pdf
Citra HBC 394,980,2015,Oregon,5.pdf
Crystal,2011,2015,Oregon,5.pdf
Fuggle,1066,2015,Oregon,5.pdf
Golding,837,2015,Oregon,5.pdf
Liberty,1360,2015,Oregon,5.pdf
Magnum,1572,2015,Oregon,5.pdf
Mt. Hood,1276,2015,Oregon,5.pdf
Nugget,1888,2015,Oregon,5.pdf
Perle,,2015,Oregon,5.pdf
Ahtanum YCR 1,1678,2015,Oregon,5.pdf
Sterling,1344,2015,Oregon,5.pdf
Super Galena,2340,2015,Oregon,5.pdf
Tettnanger,1242,2015,Oregon,5.pdf
Willamette,1226,2015,Oregon,5.pdf
Experimental,,2015,Oregon,5.pdf
Other Varieties,1609,2015,Oregon,5.pdf
Azacca ADHA-483,1872,2015,Washington,5.pdf
Jarrylo ADHA-881,1541,2015,Washington,5.pdf
Ahtanum YCR 1,1557,2015,Washington,5.pdf
Apollo,2738,2015,Washington,5.pdf
Bravo,2824,2015,Washington,5.pdf
Cascade,1936,2015,Washington,5.pdf
Centennial,1145,2015,Washington,5.pdf
Chinook,1793,2015,Washington,5.pdf
Citra HBC 394,1541,2015,Washington,5.pdf
Cluster,1705,2015,Washington,5.pdf
Columbus/Tomahawk,2524,2015,Washington,5.pdf
Comet,1780,2015,Washington,5.pdf
Crystal,1183,2015,Washington,5.pdf
El Dorado,2155,2015,Washington,5.pdf
Galena,1968,2015,Washington,5.pdf
Glacier,996,2015,Washington,5.pdf
Golding,854,2015,Washington,5.pdf
Magnum,1255,2015,Washington,5.pdf
Millennium,,2015,Washington,5.pdf
Mosaic HBC 369,2036,2015,Washington,5.pdf
Mt. Hood,1069,2015,Washington,5.pdf
Northern Brewer,991,2015,Washington,5.pdf
Nugget,1927,2015,Washington,5.pdf
Ahtanum YCR 1,1540,2015,Washington,5.pdf
Summit,1969,2015,Washington,5.pdf
Super Galena,2729,2015,Washington,5.pdf
Tettnanger,,2015,Washington,5.pdf
Vanguard,1223,2015,Washington,5.pdf
Willamette,1007,2015,Washington,5.pdf
Palisade YCR 4,1950,2015,Washington,5.pdf
Warrior YCR 5,,2015,Washington,5.pdf
Zeus,2819,2015,Washington,5.pdf
Experimental,1545,2015,Washington,5.pdf
Other Varieties,1603,2015,Washington,5.pdf
Bravo,2579,2014,Idaho,6.pdf
Cascade,1746,2014,Idaho,6.pdf
Centennial,754,2014,Idaho,6.pdf
Citra HBC 394,1200,2014,Idaho,6.pdf
Chinook,1673,2014,Idaho,6.pdf
Crystal,2186,2014,Idaho,6.pdf
El Dorado,1144,2014,Idaho,6.pdf
Simcoe YCR 14,969,2014,Idaho,6.pdf
Super Galena,2165,2014,Idaho,6.pdf
Zeus,2891,2014,Idaho,6.pdf
Experimental,1366,2014,Idaho,6.pdf
Other Varieties,1354,2014,Idaho,6.pdf
Cascade,1402,2014,Oregon,6.pdf
Centennial,1095,2014,Oregon,6.pdf
Fuggle,,2014,Oregon,6.pdf
Golding,955,2014,Oregon,6.pdf
Liberty,,2014,Oregon,6.pdf
Magnum,1077,2014,Oregon,6.pdf
Mt. Hood,1450,2014,Oregon,6.pdf
Nugget,1978,2014,Oregon,6.pdf
Perle,1057,2014,Oregon,6.pdf
Sterling,1423,2014,Oregon,6.pdf
Super Galena,2309,2014,Oregon,6.pdf
Tettnanger,,2014,Oregon,6.pdf
Willamette,1453,2014,Oregon,6.pdf
Experimental,,2014,Oregon,6.pdf
Other Varieties,1426,2014,Oregon,6.pdf
Azacca ADHA-483,1704,2014,Washington,6.pdf
Jarrylo ADHA-881,1548,2014,Washington,6.pdf
Ahtanum YCR 1,1680,2014,Washington,6.pdf
Apollo,2649,2014,Washington,6.pdf
Bravo,2768,2014,Washington,6.pdf
Cascade,1824,2014,Washington,6.pdf
Centennial,1347,2014,Washington,6.pdf
Chinook,1815,2014,Washington,6.pdf
Citra HBC 394,1570,2014,Washington,6.pdf
Cluster,1825,2014,Washington,6.pdf
Columbus/Tomahawk,2629,2014,Washington,6.pdf
Crystal,1366,2014,Washington,6.pdf
El Dorado,2206,2014,Washington,6.pdf
Galena,1801,2014,Washington,6.pdf
Glacier,1202,2014,Washington,6.pdf
Golding,772,2014,Washington,6.pdf
Millennium,1996,2014,Washington,6.pdf
Mosaic HBC 369,2225,2014,Washington,6.pdf
Mt. Hood,1333,2014,Washington,6.pdf
Northern Brewer,1244,2014,Washington,6.pdf
Nugget,1538,2014,Washington,6.pdf
Ahtanum YCR 1,1542,2014,Washington,6.pdf
Summit,2105,2014,Washington,6.pdf
Super Galena,2562,2014,Washington,6.pdf
Tettnanger,,2014,Washington,6.pdf
Vanguard,1455,2014,Washington,6.pdf
Willamette,1130,2014,Washington,6.pdf
Palisade YCR 4,2469,2014,Washington,6.pdf
Warrior YCR 5,1821,2014,Washington,6.pdf
Zeus,2811,2014,Washington,6.pdf
Experimental,1625,2014,Washington,6.pdf
Other Varieties,1418,2014,Washington,6.pdf
Bravo,2359,2016,Idaho,76.pdf
Calypso,1937,2016,Idaho,76.pdf
Cascade,1585,2016,Idaho,76.pdf
Centennial,,2016,Idaho,76.pdf
Chinook,1712,2016,Idaho,76.pdf
Citra HBC 394,1213,2016,Idaho,76.pdf
Crystal,1678,2016,Idaho,76.pdf
El Dorado,1658,2016,Idaho,76.pdf
Mosaic HBC 369,2204,2016,Idaho,76.pdf
Ahtanum YCR 1,1335,2016,Idaho,76.pdf
Super Galena,1872,2016,Idaho,76.pdf
Zeus,2761,2016,Idaho,76.pdf
Experimental,1000,2016,Idaho,76.pdf
Other Varieties,1174,2016,Idaho,76.pdf
Cascade,1597,2016,Oregon,76.pdf
Centennial,1235,2016,Oregon,76.pdf
Chinook,1675,2016,Oregon,76.pdf
Citra HBC 394,1047,2016,Oregon,76.pdf
Crystal,2216,2016,Oregon,76.pdf
Fuggle,1021,2016,Oregon,76.pdf
Golding,,2016,Oregon,76.pdf
Liberty,,2016,Oregon,76.pdf
Magnum,1493,2016,Oregon,76.pdf
Mt. Hood,1463,2016,Oregon,76.pdf
Nugget,1925,2016,Oregon,76.pdf
Perle,,2016,Oregon,76.pdf
Ahtanum YCR 1,1969,2016,Oregon,76.pdf
Sterling,1626,2016,Oregon,76.pdf
Super Galena,,2016,Oregon,76.pdf
Tettnanger,1193,2016,Oregon,76.pdf
Willamette,1573,2016,Oregon,76.pdf
Experimental,,2016,Oregon,76.pdf
Other Varieties,1546,2016,Oregon,76.pdf
Azacca ADHA-483,1870,2016,Washington,76.pdf
Ahtanum YCR 1,1012,2016,Washington,76.pdf
Apollo,2225,2016,Washington,76.pdf
Bravo,2671,2016,Washington,76.pdf
Cascade,1727,2016,Washington,76.pdf
Centennial,1355,2016,Washington,76.pdf
Chinook,1420,2016,Washington,76.pdf
Citra HBC 394,1543,2016,Washington,76.pdf
Cluster,1700,2016,Washington,76.pdf
Columbus/Tomahawk,1969,2016,Washington,76.pdf
Comet,949,2016,Washington,76.pdf
Crystal,1475,2016,Washington,76.pdf
El Dorado,1904,2016,Washington,76.pdf
Galena,1692,2016,Washington,76.pdf
Glacier,1168,2016,Washington,76.pdf
Golding,,2016,Washington,76.pdf
Jarrylo ADHA-881,1408,2016,Washington,76.pdf
Magnum,,2016,Washington,76.pdf
Millennium,,2016,Washington,76.pdf
Mosaic HBC 369,2326,2016,Washington,76.pdf
Mt. Hood,1075,2016,Washington,76.pdf
Northern Brewer,,2016,Washington,76.pdf
Nugget,1774,2016,Washington,76.pdf
Palisade YCR 4,2228,2016,Washington,76.pdf
Ahtanum YCR 1,1673,2016,Washington,76.pdf
Summit,1648,2016,Washington,76.pdf
Super Galena,2501,2016,Washington,76.pdf
Tettnanger,,2016,Washington,76.pdf
Vanguard,,2016,Washington,76.pdf
Warrior YCR 5,,2016,Washington,76.pdf
Willamette,1277,2016,Washington,76.pdf
Zeus,2469,2016,Washington,76.pdf
Experimental,1592,2016,Washington,76.pdf
Other Varieties,1662,2016,Washington,76.pdf
Bravo,2635,2013,Idaho,9.pdf
Cascade,1224,2013,Idaho,9.pdf
Centennial,1004,2013,Idaho,9.pdf
Citra HBC 394,1011,2013,Idaho,9.pdf
Chinook,1801,2013,Idaho,9.pdf
El Dorado,971,2013,Idaho,9.pdf
Super Galena,2287,2013,Idaho,9.pdf
Zeus,3049,2013,Idaho,9.pdf
Experimental,2800,2013,Idaho,9.pdf
Other Varieties,1063,2013,Idaho,9.pdf
Cascade,1483,2013,Oregon,9.pdf
Centennial,1585,2013,Oregon,9.pdf
Fuggle,827,2013,Oregon,9.pdf
Golding,1148,2013,Oregon,9.pdf
Liberty,,2013,Oregon,9.pdf
Magnum,1406,2013,Oregon,9.pdf
Mt. Hood,1567,2013,Oregon,9.pdf
Nugget,2053,2013,Oregon,9.pdf
Perle,1178,2013,Oregon,9.pdf
Sterling,1621,2013,Oregon,9.pdf
Super Galena,2557,2013,Oregon,9.pdf
Tettnanger,,2013,Oregon,9.pdf
Willamette,1491,2013,Oregon,9.pdf
Experimental,1734,2013,Oregon,9.pdf
Other Varieties,1931,2013,Oregon,9.pdf
